nvisits,nhome_visits,region,year,category
9458558,956991,Івано-Франківська,2017,Всього
9951406,586345,Київська,2017,Всього
4517577,189511,Кіровоградська,2017,Всього
2753736,184792,Луганська,2017,Всього
9854174,731319,Львівська,2017,Всього
4534498,199110,Миколаївська,2017,Всього
6249732,439964,Одеська,2017,Всього
2590590,503451,Полтавська,2017,Всього
6252913,512812,Рівненська,2017,Всього
5971273,488898,Сумська,2017,Всього
8104012,724197,Тернопільська,2017,Всього
11045760,723086,Харківська,2017,Всього
5436799,296122,Херсонська,2017,Всього
6774811,375055,Хмельницька,2017,Всього
6016878,393036,Черкаська,2017,Всього
5246160,438167,Чернівецька,2017,Всього
4609202,265729,Чернігівська,2017,Всього
0,0,м.Київ,2017,Всього
0,0,м.Севастополь,2017,Всього
0,0,Автономна pеспубліка Крим,2017,в т.ч. в сільскі жителі
4968558,323283,Вінницька,2017,в т.ч. в сільскі жителі
3362417,180209,Волинська,2017,в т.ч. в сільскі жителі
3109239,203576,Дніпропетровська,2017,в т.ч. в сільскі жителі
1280298,116421,Донецька,2017,в т.ч. в сільскі жителі
3919179,200293,Житомирська,2017,в т.ч. в сільскі жителі
5058047,555011,Закарпатська,2017,в т.ч. в сільскі жителі
2255347,159892,Запорізька,2017,в т.ч. в сільскі жителі
6023104,629338,Івано-Франківська,2017,в т.ч. в сільскі жителі
4577760,228857,Київська,2017,в т.ч. в сільскі жителі
2107354,93308,Кіровоградська,2017,в т.ч. в сільскі жителі
1098011,70669,Луганська,2017,в т.ч. в сільскі жителі
5923168,441097,Львівська,2017,в т.ч. в сільскі жителі
780212,97756,Миколаївська,2017,в т.ч. в сільскі жителі
3929379,262423,Одеська,2017,в т.ч. в сільскі жителі
1501877,276511,Полтавська,2017,в т.ч. в сільскі жителі
4029422,319757,Рівненська,2017,в т.ч. в сільскі жителі
2036265,130732,Сумська,2017,в т.ч. в сільскі жителі
5367173,460275,Тернопільська,2017,в т.ч. в сільскі жителі
325669,241376,Харківська,2017,в т.ч. в сільскі жителі
258720,127362,Херсонська,2017,в т.ч. в сільскі жителі
3737227,180174,Хмельницька,2017,в т.ч. в сільскі жителі
3792598,245520,Черкаська,2017,в т.ч. в сільскі жителі
3881064,347775,Чернівецька,2017,в т.ч. в сільскі жителі
2267171,133307,Чернігівська,2017,в т.ч. в сільскі жителі
0,0,м.Київ,2017,в т.ч. в сільскі жителі
0,0,м.Севастополь,2017,в т.ч. в сільскі жителі
