Region,year,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants
Вінницька,2001,68,7,61,84
Волинська,2001,7,0,7,82
Дніпропетровська,2001,665,207,458,1006
Донецька,2001,935,270,665,1534
Житомирська,2001,35,0,35,108
Закарпатська,2001,15,2,13,52
Запорізька,2001,256,54,202,386
Івано-Франківська,2001,66,5,60,135
Київська,2001,15,6,10,164
Кіровоградська,2001,55,-,55,177
Луганська,2001,294,46,248,652
Львівська,2001,69,2,66,383
Миколаївська,2001,86,36,50,121
Одеська,2001,150,40,111,257
Полтавська,2001,17,1,17,140
Рівненська,2001,22,2,21,134
Сумська,2001,16,0,15,131
Тернопільська,2001,5,2,3,56
Харківська,2001,35,19,16,516
Херсонська,2001,1,0,1,126
Хмельницька,2001,4,0,4,121
Черкаська,2001,27,5,21,163
Чернівецька,2001,11,6,5,65
Чернігівська,2001,32,–,32,60
Автономна Республіка Крим,2002,74,11,63,366
Вінницька,2002,57,6,51,88
Волинська,2002,6,0,6,81
Дніпропетровська,2002,636,194,442,878
Донецька,2002,740,108,632,1540
Житомирська,2002,36,1,35,103
Закарпатська,2002,15,1,14,47
Запорізька,2002,467,278,189,388
Івано-Франківська,2002,58,5,53,132
Київська,2002,20,8,12,165
Кіровоградська,2002,56,0,56,171
Луганська,2002,273,38,235,632
Львівська,2002,39,2,37,386
Миколаївська,2002,88,42,46,120
Одеська,2002,132,28,104,264
Полтавська,2002,12,0,12,146
Рівненська,2002,29,3,26,128
Сумська,2002,16,0,16,129
Тернопільська,2002,5,2,3,55
Харківська,2002,19,9,10,518
Херсонська,2002,33,4,29,84
Хмельницька,2002,5,-,5,112
Черкаська,2002,28,7,21,159
Чернівецька,2002,13,6,7,64
Чернігівська,2002,33,–,33,64
Автономна Республіка Крим,2003,30,11,20,398
Вінницька,2003,51,6,46,80
Волинська,2003,4,0,4,81
Дніпропетровська,2003,664,200,464,1049
Донецька,2003,745,130,615,1533
Житомирська,2003,28,3,25,111
Закарпатська,2003,13,1,12,63
Запорізька,2003,403,240,163,374
Івано-Франківська,2003,41,4,38,132
Київська,2003,32,20,13,166
Кіровоградська,2003,46,0,46,171
Луганська,2003,280,39,241,662
Львівська,2003,83,3,80,329
Миколаївська,2003,79,36,42,117
Одеська,2003,210,53,157,258
Полтавська,2003,12,0,11,150
Рівненська,2003,31,2,29,122
Сумська,2003,13,0,13,135
Тернопільська,2003,4,1,3,55
Харківська,2003,18,10,8,515
Херсонська,2003,28,1,27,132
Хмельницька,2003,8,0,8,89
Черкаська,2003,27,8,18,156
Чернівецька,2003,10,6,3,65
Чернігівська,2003,35,–,35,66
Автономна Республіка Крим,2004,77,11,66,394
Вінницька,2004,34,0,34,91
Волинська,2004,1,0,1,111
Дніпропетровська,2004,641,198,443,1186
Донецька,2004,750,128,622,1457
Житомирська,2004,36,2,34,111
Закарпатська,2004,15,1,14,64
Запорізька,2004,407,252,155,375
Івано-Франківська,2004,30,0,30,132
Київська,2004,17,4,13,168
Кіровоградська,2004,39,0,39,185
Луганська,2004,305,48,257,656
Львівська,2004,78,3,75,320
Миколаївська,2004,42,2,40,121
Одеська,2004,206,44,162,279
Полтавська,2004,16,0,16,153
Рівненська,2004,25,6,19,118
Сумська,2004,11,1,10,125
Тернопільська,2004,3,1,2,55
Харківська,2004,20,11,9,517
Херсонська,2004,2,1,1,94
Хмельницька,2004,11,0,11,80
Черкаська,2004,27,8,19,158
Чернівецька,2004,7,4,3,60
Чернігівська,2004,31,–,31,65
Автономна Республіка Крим,2005,83,8,75,389
Вінницька,2005,2,0,2,103
Волинська,2005,1,0,1,77
Дніпропетровська,2005,703,211,492,1040
Донецька,2005,735,139,597,1524
Житомирська,2005,29,3,25,109
Закарпатська,2005,13,1,12,65
Запорізька,2005,498,346,152,366
Івано-Франківська,2005,31,2,29,131
Київська,2005,19,5,13,169
Кіровоградська,2005,26,0,26,195
Луганська,2005,269,53,216,653
Львівська,2005,193,9,184,326
Миколаївська,2005,35,2,32,120
Одеська,2005,198,53,145,278
Полтавська,2005,6,0,6,153
Рівненська,2005,30,5,25,118
Сумська,2005,11,1,11,133
Тернопільська,2005,3,1,2,55
Харківська,2005,19,10,9,517
